transfer_row_id,target_count,algorithm,comm_label,effort_selected_horizon,makespan_selected_horizon,metric,metric_display,paired_n,effort_selected_mean,makespan_selected_mean,mean_paired_difference_effort_minus_makespan,median_paired_difference_effort_minus_makespan,percent_change_effort_vs_makespan,makespan_penalty_pct,paired_bootstrap_difference_ci95_lower,paired_bootstrap_difference_ci95_upper,paired_bootstrap_percent_change_ci95_lower,paired_bootstrap_percent_change_ci95_upper,wilcoxon_raw_p_value,holm_p_value,rank_biserial_effort_minus_makespan,scope,explanatory_association,interpretation_scope
17,5,ACBBA,bernoulli_025,5,1,active_robot_count,Active robots completing at least one target,25,3.08,2.92,0.16,0,5.47945205479452,NaN,-0.16,0.52,-5.55751173708919,18.8405797101449,0.3809814453125,0.3809814453125,0.257142857142857,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher active-robot count under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
20,5,ACBBA,bernoulli_025,5,1,allocation_messages,Allocation messages,25,116.16,65.56,50.6,48,77.1812080536913,NaN,41.36,59.96,62.7705627705628,92.0547362450369,1.36999531394729e-05,3.6670868527757e-05,0.993846153846154,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher communication traffic under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
22,5,ACBBA,bernoulli_025,5,1,allocator_time_ms,Allocator computation time (ms),25,31.387408,11.659012,19.728396,17.4304,169.211559264198,NaN,14.4956942,25.3457887,108.413385740373,250.253296988889,1.77348399029039e-05,3.68709666307453e-05,0.981538461538462,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher allocator computation time under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
19,5,ACBBA,bernoulli_025,5,1,max_individual_steps,Maximum individual movement workload (steps),25,24.6,21,3.6,2,17.1428571428571,NaN,1.08,6.28,5.00926814049739,30.8300796126001,0.0107719289959123,0.0107719289959123,0.663157894736842,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher maximum individual workload under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
13,5,ACBBA,bernoulli_025,5,1,max_robot_steps,Makespan (maximum robot steps),25,24.6,21,3.6,2,17.1428571428571,17.1428571428571,1,6.32,4.71653780678111,31.1156858353178,0.0107719289959123,0.0107719289959123,0.663157894736842,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher makespan under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
18,5,ACBBA,bernoulli_025,5,1,max_target_workload,Maximum target workload on one robot,25,2.64,2.56,0.08,0,3.125,NaN,-0.28,0.44,-10.2941176470588,18.9655172413793,0.673578401984493,0.673578401984493,0.110294117647059,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher maximum individual workload under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
16,5,ACBBA,bernoulli_025,5,1,movement_workload_gini,Movement-workload Gini,25,0.217789378486266,0.118629633287878,0.0991597451983884,0.0739822100581593,83.5876689914048,NaN,0.0542873400428981,0.143166488490502,42.5332778368405,138.10988436439,0.000890537644222049,0.000890537644222049,0.76,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher workload imbalance under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
15,5,ACBBA,bernoulli_025,5,1,target_workload_gini,Target-workload Gini,25,0.382,0.398,-0.016,0,-4.02010050251257,NaN,-0.1,0.064,-23.2813723396683,18.2744017403916,0.671341666786528,0.671341666786528,-0.110526315789474,pilot/exploratory paired effort-selected minus makespan-selected contrast,lower workload imbalance under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
21,5,ACBBA,bernoulli_025,5,1,total_messages,Total messages,25,254.84,212.56,42.28,50,19.8908543470079,NaN,26.12,57.84,12.2551153967228,27.3850832607528,0.00025253907099152,0.000505078141983041,0.836923076923077,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher communication traffic under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
12,5,ACBBA,bernoulli_025,5,1,total_team_steps,Total team steps,25,64.88,69.84,-4.96,0,-7.10194730813288,NaN,-10.68,0.360999999999985,-14.9784924392312,0.560277336737136,0.157107183245322,0.157107183245322,-0.33695652173913,pilot/exploratory paired effort-selected minus makespan-selected contrast,lower total team movement under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
6,5,ACBBA,ideal,5,1,active_robot_count,Active robots completing at least one target,25,2.44,3,-0.56,-1,-18.6666666666667,NaN,-0.88,-0.24,-28.9473684210526,-8.33047945205483,0.00482177734375,0.00537109375,-0.783333333333333,pilot/exploratory paired effort-selected minus makespan-selected contrast,lower active-robot count under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
9,5,ACBBA,ideal,5,1,allocation_messages,Allocation messages,25,95.48,71.8,23.68,19,32.9805013927577,NaN,8.36,40.12,11.3023477535789,57.8102119083325,0.0143132232127623,0.0286264464255246,0.56,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher communication traffic under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
11,5,ACBBA,ideal,5,1,allocator_time_ms,Allocator computation time (ms),25,51.802596,21.197772,30.604824,31.083,144.377550621829,NaN,22.799353,38.2959553,96.7037191636393,202.136038785047,2.25681906280537e-05,3.68709666307453e-05,0.969230769230769,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher allocator computation time under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
8,5,ACBBA,ideal,5,1,max_individual_steps,Maximum individual movement workload (steps),25,27.08,20,7.08,6,35.4,NaN,5.08,9.12,25.2031310491676,46.2154669523068,4.73367264243447e-05,0.000142010179273034,0.967391304347826,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher maximum individual workload under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
2,5,ACBBA,ideal,5,1,max_robot_steps,Makespan (maximum robot steps),25,27.08,20,7.08,6,35.4,35.4,5.08,9.12,25.1982600732601,46.1389946686976,4.73367264243447e-05,0.000142010179273034,0.967391304347826,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher makespan under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
7,5,ACBBA,ideal,5,1,max_target_workload,Maximum target workload on one robot,25,3.32,2.44,0.88,1,36.0655737704918,NaN,0.48,1.32,19.3548387096774,55.3571428571428,0.000856858204342573,0.00171371640868515,0.911764705882353,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher maximum individual workload under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
5,5,ACBBA,ideal,5,1,movement_workload_gini,Movement-workload Gini,25,0.42135085428973,0.143219549997225,0.278131304292505,0.265222984562607,194.199258619298,NaN,0.213686563584991,0.344429128442569,130.789368799462,284.532659983042,1.77348399029039e-05,3.68709666307453e-05,0.981538461538462,pilot/exploratory paired effort-selected minus makespan-selected contrast,higher workload imbalance under the effort-selected horizon,"exploratory association; selected horizons and outcomes use the same paired pilot scenarios, not causal proof"
